Cluster	Genes
Cluster 73	"PF07_0034, PF07_0041, PF10_0142, PF10_0340, PF11_0349, PF14_0127, PFC0050C, PFD0350W, PFF1410C, PFI0720W, PFI1800W, PFL1665C"
Cluster 74	"MAL6P1.81, PF07_0069, PF08_0068, PF10_0271, PF11_0149, PF11_0150, PF14_0514, PF14_0651, PFA0335W, PFA0470C, PFD0215C, PFE1325W, PFF0470W"
Cluster 75	"MAL13P1.265, MAL7P1.130, MAL7P1.32, MAL7P1.69, PF07_0037, PF10_0113, PF10_0373, PF11_0084, PF11_0119, PF13_0256, PF13_0278, PF14_0048, PFC0560C, PFD0525W, PFE0580W, PFL0920C"
Cluster 76	"MAL13P1.322, PF10_0053, PF10_0091, PF11_0048, PF13_0318, PF14_0146, PF14_0528, PFB0210C, PFB0700C, PFD0515W, PFE1085W, PFE1430C, PFI0105C, PFI0860C, PFI1070C"
Cluster 77	"MAL13P1.299, MAL13P1.52, MAL7P1.26, MAL8P1.41, PF07_0123, PF08_0130, PF10_0269, PF10_0341, PF11_0068, PF11_0255, PF11_0341, PF13_0175, PF13_0309, PF13_0313, PF14_0086, PF14_0125, PF14_0157, PF14_0322, PF14_0422, PF14_0456, PF14_0584, PFA0165C, PFB0151C, PFD0725C, PFE0390W, PFE1470W, PFF0105W, PFF0320C, PFF0340C, PFF0620C, PFF0970W, PFF1000W, PFF1270C, PFF1295W, PFI0150C, PFI0310W, PFI0920C, PFI1130C, PFL0695C, PFL2265C, PFL2310W"
Cluster 78	"MAL7P1.4, PF11_0041, PF14_0610, PF14_0686, PF14_0687, PFB0925W, PFE1070C, PFE1570C, PFF0130C, PFF1005W, PFF1285W, PFI0815C, PFL1405W"
Cluster 79	"MAL13P1.14, MAL13P1.27, MAL13P1.293, MAL6P1.161, PF08_0096, PF10_0063, PF10_0089, PF10_0096, PF10_0123, PF11_0189, PF11_0192, PF11_0384, PF13_0044, PF13_0184, PF13_0257, PF13_0261, PF13_0354, PF14_0436, PF14_0563, PFA0330W, PFB0285C, PFC0395W, PFD0880W, PFE0885W, PFE1195W, PFE1360C, PFE1370W, PFF0525W, PFF0530W, PFF1135W, PFI0165C, PFI0370C, PFI0455W, PFI0895C, PFI1085W, PFI1695C, PFL1175W, PFL1220W, PFL1230W"
Cluster 80	"MAL13P1.56, MAL13P1.92, MAL7P1.228, PF10_0043, PF10_0103, PF10_0187, PF10_0272, PF11_0437, PF13_0014, PF13_0132, PF13_0167, PF13_0213, PF13_0215, PF13_0305, PF14_0191, PF14_0201, PF14_0228, PF14_0231, PF14_0240, PF14_0391, PF14_0428, PF14_0479, PF14_0579, PFB0830W, PFC0245C, PFD0960C, PFD1055W, PFE1590W, PFF0695W, PFI0190W, PFL0815W, PFL2055W"
Cluster 81	"PF11_0037, PF11_0402, PF13_0267, PF14_0700, PF14_0706, PFA0640C, PFB0279W, PFB0280W, PFF0075C"
Cluster 82	"MAL13P1.334, MAL7P1.320, PF10_0095, PF10_0180, PF11_0106, PF11_0245, PF11_0250, PF11_0260, PF11_0296, PF11_0409, PF11_0447, PF14_0335, PF14_0359, PF14_0585, PFB0445C, PFB0865W, PFE1310C, PFF0450C, PFL1375W"
Cluster 83	"PF10_0391, PFA0060W, PFC1085C, PFF1525C, PFI1775W"
Cluster 84	"MAL13P1.301, MAL6P1.275, PF10_0265, PF13_0100, PF13_0181, PF14_0080, PF14_0262, PF14_0625, PF14_0626, PF14_0654, PFC0750W, PFE0685W, PFL0825C, PFL0915C"
Cluster 85	"MAL13P1.76, MAL6P1.206, MAL6P1.24, MAL6P1.298, MAL6P1.72, MAL6P1.95, MAL7P1.113, MAL8P1.156, MAL8P1.43, PF07_0099, PF08_0048, PF11_0305, PF11_0439, PF11_0471, PF13_0157, PF13_0330, PF14_0100, PF14_0187, PF14_0256, PFA0230C, PFB0270W, PFC0285C, PFC0980C, PFE0655W, PFE1010W, PFE1115C, PFE1240W, PFI1020C, PFI1040C, PFL0330C, PFL0900C, PFL1735C"
Cluster 86	"MAL13P1.209, MAL13P1.257, MAL13P1.36, MAL6P1.220, MAL6P1.244, MAL6P1.281, MAL8P1.105, PF07_0043, PF07_0079, PF07_0088, PF08_0019, PF08_0039, PF08_0075, PF10_0160, PF10_0264, PF10_0325, PF11_0043, PF11_0065, PF11_0208, PF11_0312, PF11_0313, PF13_0049, PF13_0129, PF13_0143, PF13_0170, PF13_0179, PF13_0214, PF13_0228, PF13_0316, PF14_0027, PF14_0078, PF14_0083, PF14_0141, PF14_0230, PF14_0239, PF14_0261, PF14_0296, PF14_0368, PF14_0411, PF14_0448, PF14_0486, PF14_0589, PF14_0627, PFB0245C, PFB0455W, PFB0525W, PFB0885W, PFC0290W, PFC0400W, PFD0305C, PFD0770C, PFE0350C, PFE0845C, PFE0850C, PFE0975C, PFE1005W, PFE1405C, PFF0700C, PFF0835W, PFF0880C, PFF0885W, PFF1095W, PFF1300W, PFF1335C, PFI0645W, PFI0755C, PFI1105W, PFL0210C, PFL0335C, PFL0460W"
Cluster 87	"PF10_0008, PF10_0139, PF10_0275, PF13_0172, PF14_0726, PFE0085C, PFL0760W"
Cluster 88	"MAL13P1.120, MAL13P1.283, MAL6P1.296, MAL7P1.134, MAL8P1.127, MAL8P1.23, PF07_0020, PF07_0077, PF07_0084, PF07_0106, PF08_0037, PF08_0111, PF10_0041, PF10_0141, PF10_0150, PF10_0225, PF11_0051, PF11_0270, PF11_0293, PF11_0331, PF11_0399, PF11_0445, PF13_0027, PF13_0136, PF13_0190, PF13_0204, PF13_0262, PF14_0198, PF14_0218, PF14_0517, PF14_0605, PF14_0612, PFA0145C, PFA0505C, PFB0715W, PFC0105W, PFC0350C, PFC0365W, PFC0375C, PFC0805W, PFC0900W, PFD0180C, PFD0265W, PFD0460C, PFE0995C, PFF0430W, PFF0590C, PFF0755C, PFF1480W, PFI0625C"
Cluster 89	"MAL13P1.171, MAL13P1.28, MAL6P1.142, MAL6P1.168, MAL6P1.210, MAL6P1.245, MAL6P1.36, PF08_0079, PF10_0149, PF10_0274, PF10_0300, PF11_0101, PF11_0272, PF11_0274, PF11_0284, PF11_0316, PF11_0438, PF13_0171, PF13_0224, PF13_0268, PF14_0022, PF14_0205, PF14_0209, PF14_0241, PF14_0307, PF14_0465, PF14_0619, PF14_0673, PFB0195C, PFB0375W, PFB0635W, PFB0660W, PFC0200W, PFC0270W, PFC0535W, PFC0600W, PFC0735W, PFC0775W, PFC0865W, PFC0870W, PFC1020C, PFC1065W, PFD0270C, PFD1045C, PFE0185C, PFE0670W, PFI0335W, PFI0680C, PFI0700C, PFI1650W, PFL0100C, PFL0670C, PFL2150C, PFL2355W"
Cluster 90	"MAL6P1.90, MAL7P1.171, MAL7P1.174, PF07_0007, PF07_0008, PF08_0060, PF08_0132, PF10_0323, PF10_0350, PF11_0310, PF13_0073, PF14_0341, PF14_0746, PF14_0758, PFB0075C, PFB0095C, PFB0930W, PFC0085C, PFD1175W, PFE0050W, PFE0060W, PFE1245W, PFF0090W, PFI1780W, PFL2515C"
Cluster 91	"MAL6P1.193, MAL6P1.304, PF07_0029, PF11_0254, PF14_0587, PFL1290W"
Cluster 92	"PF08_0001, PF10_0013, PF14_0431, PF14_0730, PF14_0731, PFA0700C, PFB0923C, PFD0080C, PFE1605W, PFE1615C, PFI1750C"
Cluster 93	"PFA0300C, PFB0870W, PFF0690C, PFI1281W, PFL2120W, PFL2275C"
Cluster 94	"MAL13P1.344, MAL13P1.71, MAL8P1.94, PF08_0117, PF11_0404, PF13_0015, PF13_0083, PF14_0321, PF14_0474, PF14_0485, PF14_0519, PF14_0536, PF14_0575, PF14_0599, PF14_0663, PFA0500W, PFB0575C, PFC0166W, PFC0295C, PFC0470W, PFC0855W, PFD0275W, PFD1065C, PFE0605C, PFE0665C, PFE1340W, PFF1260C, PFI0425W, PFI0965W, PFI1420W, PFL0970W, PFL1145W, PFL1710C, PFL1980C, PFL1995C, PFL2105C, PFL2470C"
Cluster 95	"MAL13P1.185, MAL13P1.284, MAL13P1.335, MAL7P1.144, MAL8P1.2, MAL8P1.206, MAL8P1.63, PF08_0006, PF10_0093, PF11_0320, PF14_0015, PF14_0017, PF14_0036, PF14_0384, PF14_0662, PFA0570W, PFD0285C, PFD0555C, PFF0770C, PFF0775W, PFI0823W, PFL0730W, PFL0740C, PFL1865W"
Cluster 96	"MAL13P1.155, MAL13P1.221, MAL13P1.243, MAL13P1.327, MAL13P1.55, MAL6P1.197, MAL6P1.25, PF07_0115, PF08_0102, PF10_0144, PF10_0267, PF11_0076, PF11_0188, PF11_0264, PF11_0351, PF13_0208, PF13_0234, PF13_0281, PF13_0344, PF14_0028, PF14_0124, PF14_0194, PF14_0328, PFA0465C, PFA0530C, PFB0595W, PFC0595C, PFD0462W, PFE0245C, PFE0815W, PFE1230C, PFF0160C, PFF0825C, PFI1140W, PFI1570C, PFL0430W, PFL1315W, PFL1525C, PFL1610C, PFL2050W, PFL2075C"
Cluster 97	"PF14_0109, PFB0196C, PFC0135C, PFC0780W, PFC0970W, PFL0990W"
Cluster 98	"PF10_0322, PF11_0174, PF13_0252, PF14_0678, PFB0921C"
Cluster 99	"MAL6P1.263, PF11_0143, PF11_0356, PF14_0358, PF14_0542, PF14_0557, PF14_0659, PF14_0718, PFD0370W, PFE0610C, PFI1495W"
Cluster 100	"PF07_0033, PF07_0091, PF10_0115, PF11_0183, PF14_0324, PF14_0336, PF14_0482, PF14_0510, PFF0725W, PFF1185W, PFI1075W"
Cluster 101	"MAL6P1.93, MAL7P1.12, MAL7P1.209, PF10_0217, PF10_0257, PF10_0380, PF13_0287, PFA0620C, PFB0080C, PFB0100C, PFC0605W, PFC0835C, PFC0925W, PFD0845W, PFE1600W, PFF1025C, PFI0500W"
